"","x"
"1","Mpo"
"2","Slc25a21"
"3","Ermap"
"4","Prtn3"
"5","Nfia"
"6","Car1"
"7","Abcb4"
"8","H2afy"
"9","Parp8"
"10","Rab44"
"11","Atp8b4"
"12","Etv6"
"13","Arhgap15"
"14","Car2"
"15","Cd34"
"16","Tmsb4x"
"17","Kel"
"18","Slco3a1"
"19","Vav3"
"20","Ext1"
"21","Lcp1"
"22","Adgrl4"
"23","Ank1"
"24","Elmo1"
"25","Myo1d"
"26","Adgrg1"
"27","Ugcg"
"28","Gm42418"
"29","Emb"
"30","Zg16"
"31","Blvrb"
"32","Plac8"
"33","Nrxn1"
"34","Fam107b"
"35","Hsp90aa1"
"36","Pkm"
"37","Ces2g"
"38","Spire1"
"39","Aqp1"
"40","Pgam1"
"41","Laptm5"
"42","Ctsg"
"43","Rhag"
"44","Cpox"
"45","Mt1"
"46","Rabgap1l"
"47","Klf1"
"48","Fli1"
"49","Pvt1"
"50","Cd93"
"51","Optn"
"52","Tnfaip2"
"53","Zdhhc14"
"54","Mctp1"
"55","Bcl11a"
"56","Sox4"
"57","Minpp1"
"58","St3gal5"
"59","Hdgf"
"60","Mthfd1"
"61","Mns1"
"62","Sell"
"63","Celf2"
"64","Ikzf1"
"65","Bcl2"
"66","Angpt1"
"67","Gria3"
"68","Igfbp4"
"69","Fndc3b"
"70","Tnfaip8"
"71","Sept8"
"72","Rnf220"
"73","Airn"
"74","Cers6"
"75","Cmtm7"
"76","Mfsd2b"
"77","Fut8"
"78","Vamp5"
"79","Ly6e"
"80","Plppr3"
"81","Cyth3"
"82","Mgat5"
"83","Hk3"
"84","Akap13"
"85","F630028O10Rik"
"86","Aplp2"
"87","Casp3"
"88","Pabpc4"
"89","Pecam1"
"90","Calr"
"91","Pklr"
"92","Atp2a3"
"93","2610307P16Rik"
"94","Arpc1b"
"95","Sptbn1"
"96","Wrn"
"97","Runx2"
"98","Rps12"
"99","Arhgdib"
"100","mt-Nd3"
"101","Atpif1"
"102","Fxyd5"
"103","Aff3"
"104","mt-Nd2"
"105","Adamts3"
"106","Il1rl1"
"107","Ppm1l"
"108","Mrpl52"
"109","Erg"
"110","C530008M17Rik"
"111","Esyt2"
"112","Fchsd2"
"113","Mt2"
"114","Hspd1"
"115","Fam241a"
"116","Gm2a"
"117","mt-Nd1"
"118","Atp13a3"
"119","Slc22a23"
"120","Steap3"
"121","Atp1b2"
"122","Phf21a"
"123","Tespa1"
"124","Ahctf1"
"125","BC035044"
"126","Adgrg3"
"127","Reps2"
"128","Ikzf2"
"129","Zbtb46"
"130","Gata1"
"131","Gm15915"
"132","Hdac7"
"133","Atp7b"
"134","C1qtnf12"
"135","Trib2"
"136","Rin3"
"137","Trps1"
"138","Fndc3a"
"139","Acsl5"
"140","Zfp608"
"141","Metap2"
"142","Rpl41"
"143","Tspo2"
"144","Rhd"
"145","Slc40a1"
"146","Tfrc"
"147","Flnb"
"148","Eda"
"149","Asph"
"150","Dapp1"
"151","Camsap2"
"152","Myh10"
"153","Tspan33"
"154","Dpf3"
"155","Satb1"
"156","Rasgrp2"
"157","Maml3"
"158","B2m"
"159","H2-K1"
"160","Shank3"
"161","Plcg2"
"162","Mbnl1"
"163","Ccl9"
"164","Tnrc18"
"165","Atp8a1"
"166","Ammecr1"
"167","Pou2f2"
"168","Mlec"
"169","Snca"
"170","Vim"
"171","Sphk1"
"172","Epdr1"
"173","mt-Co1"
"174","Ramp1"
"175","Ptpre"
"176","Meis1"
"177","Sh3bgrl3"
"178","Arid5b"
"179","Garem1"
"180","Cxcr4"
"181","Chchd3"
"182","Coro2a"
"183","Srgn"
"184","Add2"
"185","Abca3"
"186","Nkg7"
"187","Slc38a5"
"188","Tm6sf1"
"189","Mical3"
"190","Coro1a"
"191","Skap2"
"192","Runx1"
"193","Iqgap1"
"194","Myo1f"
"195","Rab31"
"196","Picalm"
"197","Tgfbr3"
"198","Npm1"
"199","Slc38a9"
"200","Mef2c"
"201","Gcnt2"
"202","Gfi1b"
"203","AY036118"
"204","Btaf1"
"205","Elane"
"206","Samd14"
"207","Epor"
"208","Mmp14"
"209","Adk"
"210","Cacnb2"
"211","Foxn3"
"212","Eml4"
"213","Ms4a3"
"214","Tpm3"
"215","Wapl"
"216","Plxnc1"
"217","Hectd1"
"218","Wls"
"219","Kcng2"
"220","Glrx5"
"221","Gfod1"
"222","Mir99ahg"
"223","Diaph2"
"224","Itm2b"
"225","Plcb2"
"226","Fhit"
"227","Focad"
"228","Nxpe2"
"229","Atp10a"
"230","Ssbp3"
"231","Wdfy4"
"232","Ell2"
"233","Ptprc"
"234","Stat3"
"235","Ldb1"
"236","Specc1"
"237","Memo1"
"238","Tut7"
"239","Plcl2"
"240","Hspe1"
"241","Stx2"
"242","L3mbtl3"
"243","Stard10"
"244","Stmn1"
"245","Cox6a1"
"246","Ncl"
"247","Calcrl"
"248","Map3k5"
"249","Cdk19"
"250","Nr3c1"
"251","Myo5a"
"252","Paqr9"
"253","Ptpn18"
"254","Gna14"
"255","Slc11a2"
"256","Lrmda"
"257","Pcgf5"
"258","Trf"
"259","Glipr1"
"260","Daam1"
"261","Tmem176b"
"262","Usp24"
"263","Cd27"
"264","Gmfg"
"265","Dmxl1"
"266","Alkbh8"
"267","Sun2"
"268","Dock2"
"269","Rbpms"
"270","Eps15"
"271","Esr1"
"272","Arap3"
"273","Kcnq1ot1"
"274","Nckap1"
"275","Lmo4"
"276","Agap1"
"277","Arhgap26"
"278","Tgfb1"
"279","Asns"
"280","Cul4a"
"281","Gm4258"
"282","Serpinb1a"
"283","Ntn4"
"284","Ern1"
"285","Vat1"
"286","Spi1"
"287","Myl12b"
"288","Rbm25"
"289","Cd47"
"290","Txnl1"
"291","Flt3"
"292","Acsl1"
"293","Rapgef2"
"294","Tfr2"
"295","Rab4a"
"296","Lrrc8c"
"297","Usp15"
"298","Ncf2"
"299","Cd63"
"300","Stat4"
"301","Camk2d"
"302","Fes"
"303","Dpy19l1"
"304","Tlk1"
"305","Tmem56"
"306","Cst3"
"307","Lrmp"
"308","Nadk2"
"309","Lpin2"
"310","Tap2"
"311","Fam117a"
"312","Sptan1"
"313","Dock1"
"314","Ifrd2"
"315","Hpn"
"316","Vkorc1l1"
"317","Cyfip2"
"318","Sun1"
"319","Syk"
"320","Cdr2"
"321","Nipa1"
"322","Gm47283"
"323","Spta1"
"324","Clybl"
"325","Msra"
"326","Crlf3"
"327","St8sia4"
"328","Chdh"
"329","Slc28a2"
"330","Rassf2"
"331","Arid1b"
"332","Cotl1"
"333","Il11ra1"
"334","Mthfd1l"
"335","Zfpm1"
"336","Anln"
"337","Alox5ap"
"338","Gng12"
"339","Kcnq5"
"340","Hectd4"
"341","Atp2b4"
"342","Sept6"
"343","Sh3glb1"
"344","Psmb8"
"345","Nrg2"
"346","Il6ra"
"347","Dynll1"
"348","Rgs18"
"349","Cox6b2"
"350","Larp1b"
"351","Actg1"
"352","Ccdc171"
"353","Gatm"
"354","Phactr2"
"355","Ybx1"
"356","Hmbs"
"357","Il15"
"358","Mat2a"
"359","Gfi1"
"360","Fam234b"
"361","Gclm"
"362","Wdr60"
"363","Tfec"
"364","Rps27l"
"365","AI504432"
"366","Ica1"
"367","Ctse"
"368","Sfmbt1"
"369","Mgll"
"370","Muc13"
"371","Stom"
"372","Eif5b"
"373","Arhgap32"
"374","Maml2"
"375","Khsrp"
"376","Znrf1"
"377","Herc1"
"378","Elk3"
"379","Mfhas1"
"380","Kctd1"
"381","Atxn1"
"382","Tmem14c"
"383","Auts2"
"384","Cbfb"
"385","Anxa3"
"386","Ogfrl1"
"387","Cd53"
"388","Ffar2"
"389","Gbp3"
"390","Slc7a6"
"391","Pstpip1"
"392","Cox6c"
"393","Tes"
"394","Dock11"
"395","Zyx"
"396","Atp5j2"
"397","Acss1"
"398","Ankrd44"
"399","Arhgef6"
"400","Ncoa4"
"401","Cpeb3"
"402","Lamp2"
"403","Prdx6"
"404","Mllt3"
"405","Cxxc5"
"406","Gnai2"
"407","Ampd3"
"408","Ptpn14"
"409","mt-Nd4l"
"410","Grn"
"411","Rcsd1"
"412","Hexa"
"413","Xpo7"
"414","Limd2"
"415","R3hdm1"
"416","Nos1ap"
"417","Vti1a"
"418","Abr"
"419","Igsf3"
"420","App"
"421","Mc5r"
"422","Tubb4b"
"423","Eif3a"
"424","Myh9"
"425","Usp7"
"426","Larp1"
"427","Acot7"
"428","Atp5g1"
"429","Prpf4b"
"430","Map4k4"
"431","Pla2g12a"
"432","Soat1"
"433","Il16"
"434","Hgf"
"435","Mfsd13a"
"436","Ybx3"
"437","Eprs"
"438","Bin2"
"439","Cpa3"
"440","Cers5"
"441","Notch1"
"442","Cox6b1"
"443","Lrpprc"
"444","Necap2"
"445","Cebpa"
"446","Pbx1"
"447","Prdm5"
"448","Vav1"
"449","Dach1"
"450","Ino80dos"
"451","Man1a"
"452","Spns2"
"453","Rab27a"
"454","Smap2"
"455","Arpc2"
"456","Fkbp1a"
"457","Scrn3"
"458","Man2a2"
"459","Zdhhc13"
"460","Chst12"
"461","Hars"
"462","Zmiz1"
"463","Arhgap30"
"464","Snrpg"
"465","Glud1"
"466","Prkce"
"467","Fnbp1"
"468","Snhg3"
"469","Csf3r"
"470","Selp"
"471","Ggta1"
"472","Arhgef12"
"473","Lmna"
"474","Hjurp"
"475","Itgal"
"476","Nsd2"
"477","Srpk2"
"478","Itga4"
"479","Ascc3"
"480","Scd2"
"481","Itga2b"
"482","Clec12a"
"483","Gstm5"
"484","Carnmt1"
"485","Tarsl2"
"486","Clic1"
"487","Ms4a6c"
"488","Fgl2"
"489","Rcor1"
"490","Setdb1"
"491","Abcb1b"
"492","Ublcp1"
"493","A630001G21Rik"
"494","Rps10"
"495","Gm20342"
"496","Rp9"
"497","Ifitm1"
"498","Dock10"
"499","Zfp36l2"
"500","Smarca2"
"501","Aqp9"
"502","Nme1"
"503","Elf4"
"504","Cpne3"
"505","Fpgs"
"506","Tmbim6"
"507","Slc44a2"
"508","Golm1"
"509","Lyz2"
"510","Sla"
"511","Napsa"
"512","Selplg"
"513","Rpl26"
"514","Gls"
"515","Gpc4"
"516","Tspan5"
"517","Plek"
"518","1700025G04Rik"
"519","Hcls1"
"520","Rps18"
"521","Bclaf1"
"522","Mboat2"
"523","Rapgef6"
"524","Pim1"
"525","Zdhhc20"
"526","Gypa"
"527","Rps6ka5"
"528","Cldn13"
"529","Aqp11"
"530","Rpl37a"
"531","Hlf"
"532","Ifi203"
"533","Wsb1"
"534","Tsc22d1"
"535","Parm1"
"536","Anxa1"
"537","Mndal"
"538","Nmnat3"
"539","Clint1"
"540","Frat1"
"541","Ckap4"
"542","Hif3a"
"543","Emilin1"
"544","Bace1"
"545","Tspan3"
"546","Otulinl"
"547","Tmem176a"
"548","Sptb"
"549","Acvr1b"
"550","Cd48"
"551","Tet1"
"552","Chn2"
"553","Cd55"
"554","Adssl1"
"555","Kcnk12"
"556","Phf10"
"557","Akt3"
"558","Ndrg1"
"559","Piezo1"
"560","Milr1"
"561","Ndst1"
"562","Pfkfb3"
"563","Grb10"
"564","Fmnl1"
"565","Rpl12"
"566","1700006J14Rik"
"567","Mapkapk2"
"568","Cfdp1"
"569","Rplp1"
"570","Tmed10"
"571","Cela1"
"572","Abhd17b"
"573","Gapvd1"
"574","Adat1"
"575","Idh1"
"576","Ldlrad4"
"577","Cd52"
"578","Knl1"
"579","Ddx21"
"580","Thada"
"581","Tax1bp1"
"582","Smad1"
"583","Tmem238"
"584","Aopep"
"585","Ak4"
"586","Gstm1"
"587","Unc93b1"
"588","Nfam1"
"589","Tspan8"
"590","Cnnm2"
"591","Ankrd13c"
"592","AC149090.1"
"593","Flna"
"594","Msi2"
"595","Nrgn"
"596","Srsf10"
"597","C030034L19Rik"
"598","Pik3r1"
"599","Lpgat1"
"600","Dus2"
"601","Usp45"
"602","Lrrc20"
"603","Fech"
"604","Mtss1"
"605","Odc1"
"606","Cox8a"
"607","Pik3cd"
"608","C1galt1"
"609","Wipf1"
"610","Smim14"
"611","Plxdc1"
"612","Ndufab1"
"613","mt-Atp8"
"614","Prelid2"
"615","Arhgef18"
"616","Sppl2b"
"617","Mapkapk3"
"618","Spns3"
"619","Lbp"
"620","Ttll12"
"621","Zfp521"
"622","Usp6nl"
"623","Hmgn2"
"624","Smim13"
"625","Gpi1"
"626","Htra2"
"627","Fam126a"
"628","Prkar2b"
"629","Cst7"
"630","Sirpa"
"631","Wdr12"
"632","Asxl2"
"633","Bin1"
"634","H2-D1"
"635","Tbxas1"
"636","Lrrfip1"
"637","Pitrm1"
"638","March3"
"639","Rif1"
"640","Eif2s2"
"641","Cenpa"
"642","Treml2"
"643","Ablim1"
"644","Cox5a"
"645","Pdia6"
"646","Hspa9"
"647","Sh3tc2"
"648","Rplp2"
"649","Tcf3"
"650","Nop56"
"651","Kcnn4"
"652","E130308A19Rik"
"653","Celf1"
"654","Fmnl2"
"655","Ubr5"
"656","Coro7"
"657","Sntb1"
"658","Med13l"
"659","Tex2"
"660","Pard3b"
"661","Ppm1h"
"662","Uqcr11"
"663","Cnr2"
"664","Xpo4"
"665","Tnfrsf1a"
"666","Idh2"
"667","Cnot6l"
"668","Vamp8"
"669","Pitpnc1"
"670","Fgd4"
"671","Ddost"
"672","Rgs10"
"673","Hsph1"
"674","Mdfic"
"675","Tmem120b"
"676","Egln3"
"677","Ppan"
"678","Nop58"
"679","Tec"
"680","Il3ra"
"681","B4galt6"
"682","Trerf1"
"683","Ltbp3"
"684","Clcn3"
"685","Wdr43"
"686","Appl1"
"687","Cdk8"
"688","Usp46"
"689","Kctd12"
"690","Rac2"
"691","Saraf"
"692","Rps3a1"
"693","Slc45a3"
"694","C1qbp"
"695","Arhgef25"
"696","Slc9a9"
"697","Galnt2"
"698","Urod"
"699","Dut"
"700","Snhg5"
"701","Galk2"
"702","Surf4"
"703","Zfp207"
"704","Senp7"
"705","Tsc22d3"
"706","H13"
"707","Fam49b"
"708","Alcam"
"709","Hebp1"
"710","Gga2"
"711","Atrnl1"
"712","Tap1"
"713","Ccne1"
"714","Blm"
"715","Stap1"
"716","Rpl35"
"717","Cenpp"
"718","B3glct"
"719","Pprc1"
"720","Klhl6"
"721","Slc43a2"
"722","Slfn9"
"723","Nedd4"
"724","St6galnac3"
"725","Iqgap2"
"726","Gm17382"
"727","Psap"
"728","Nfic"
"729","Slc39a6"
"730","Prdx2"
"731","Pfkp"
"732","Tango2"
"733","Tor3a"
"734","Hk2"
"735","Gnaq"
"736","Aatf"
"737","Rnf144a"
"738","Rnf145"
"739","Grk2"
"740","Ankrd17"
"741","Arhgef2"
"742","Gng2"
"743","Cltc"
"744","Arl6ip1"
"745","Ifitm3"
"746","Smim1"
"747","Morf4l2"
"748","Osbpl8"
"749","Ptpn13"
"750","Amigo2"
"751","Plscr1"
"752","Wdr59"
"753","Slc43a1"
"754","Lpp"
"755","Psen2"
"756","Naa15"
"757","Dcaf1"
"758","Il10rb"
"759","Tbc1d4"
"760","Nfat5"
"761","Pik3cg"
"762","Serpina3g"
"763","Dock8"
"764","Slc35c2"
"765","Prkg1"
"766","Tmsb10"
"767","Neat1"
"768","Gmds"
"769","Irs2"
"770","Map3k14"
"771","Amd1"
"772","Mcm10"
"773","Slain2"
"774","Stk4"
"775","Adam15"
"776","Camk2a"
"777","Bcr"
"778","Pik3ip1"
"779","Pip5k1b"
"780","Cox7c"
"781","Elf1"
"782","H2-T24"
"783","Pclaf"
"784","Bbx"
"785","Slmap"
"786","Serbp1"
"787","Arsb"
"788","S100a11"
"789","Prkar1a"
"790","Gp5"
"791","Snrpd1"
"792","Sfxn1"
"793","Pgk1"
"794","Chchd2"
"795","Bmt2"
"796","Atg2b"
"797","Ptprcap"
"798","Sypl"
"799","Prkcd"
"800","Cited2"
"801","Cflar"
"802","Serinc3"
"803","Dis3l2"
"804","Impa2"
"805","Tbccd1"
"806","Ppia"
"807","Lpin1"
